7.3,0.98,0.05,2.1,0.061,20,49,0.99705,3.31,0.55,9.7,3
7.1,0.875,0.05,5.7,0.082,3,14,0.99808,3.4,0.52,10.2,3
8.1,0.73,0,2.5,0.081,12,24,0.99798,3.38,0.46,9.6,4
6.5,0.67,0,4.3,0.057,11,20,0.99488,3.45,0.56,11.8,4
6.3,1.02,0,2,0.083,17,24,0.99437,3.59,0.55,11.2,4
8.2,0.78,0,2.2,0.089,13,26,0.9978,3.37,0.46,9.6,4
8.5,0.4,0.4,6.3,0.05,3,10,0.99566,3.28,0.56,12,4
7.5,0.755,0,1.9,0.084,6,12,0.99672,3.34,0.49,9.7,4
6.8,0.68,0.09,3.9,0.068,15,29,0.99524,3.41,0.52,11.1,4
8,0.83,0.27,2,0.08,11,63,0.99652,3.29,0.48,9.8,4
6.6,0.61,0,1.6,0.069,4,8,0.99396,3.33,0.37,10.4,4
6.4,0.53,0.09,3.9,0.123,14,31,0.9968,3.5,0.67,11,4
7.4,0.965,0,2.2,0.088,16,32,0.99756,3.58,0.67,10.2,5
7.1,0.43,0.17,1.8,0.082,27,51,0.99634,3.49,0.64,10.4,5
7.1,0.43,0.17,1.8,0.082,27,51,0.99634,3.49,0.64,10.4,5
8.5,0.46,0.59,1.4,0.414,16,45,0.99702,3.03,1.34,9.2,5
5.6,0.605,0.05,2.4,0.073,19,25,0.99258,3.56,0.55,12.9,5
7.6,0.42,0.25,3.9,0.104,28,90,0.99784,3.15,0.57,9.1,5
8,0.62,0.35,2.8,0.086,28,52,0.997,3.31,0.62,10.8,5
7.5,0.77,0.2,8.1,0.098,30,92,0.99892,3.2,0.58,9.2,5
7.5,0.77,0.2,8.1,0.098,30,92,0.99892,3.2,0.58,9.2,5
8.6,0.37,0.65,6.4,0.08,3,8,0.99817,3.27,0.58,11,5
8.6,0.37,0.65,6.4,0.08,3,8,0.99817,3.27,0.58,11,5
6.8,0.48,0.08,1.8,0.074,40,64,0.99529,3.12,0.49,9.6,5
9.4,0.4,0.47,2.5,0.087,6,20,0.99772,3.15,0.5,10.5,5
8.6,0.52,0.38,1.5,0.096,5,18,0.99666,3.2,0.52,9.4,5
8.6,0.52,0.38,1.5,0.096,5,18,0.99666,3.2,0.52,9.4,5
6.3,0.57,0.28,2.1,0.048,13,49,0.99374,3.41,0.6,12.8,5
8.1,0.78,0.1,3.3,0.09,4,13,0.99855,3.36,0.49,9.5,5
5.6,0.66,0,2.5,0.066,7,15,0.99256,3.52,0.58,12.9,5
10,0.43,0.33,2.7,0.095,28,89,0.9984,3.22,0.68,10,5
5.9,0.19,0.21,1.7,0.045,57,135,0.99341,3.32,0.44,9.5,5
